"ID","pred_cluster","Wins","Draws","Losses","Points","Goals_For","Goals_Against","Goal_Differential","Possession","Wages","League","cluster_label"
1,0,9.29,10.12,14.58,37.99,38.12,52.40,-14.28,43.80,24158422.41,"Bundesliga","3rd"
2,1,17.29,7.50,9.20,59.37,64.33,43.40,20.93,55.96,57009979.23,"Bundesliga","4th"
3,2,4.62,8.87,20.50,22.75,30.62,70.12,-39.50,43.51,11326663.62,"Bundesliga","6th"
4,3,12.90,9.21,11.87,47.93,50.58,50.56,0.01,48.69,40447486.33,"Bundesliga","2nd"
5,4,26.00,4.22,3.77,82.22,91.33,28.77,62.55,66.08,184561016.11,"Bundesliga","1st"
6,5,10.18,7.59,16.22,38.14,40.68,56.38,-15.69,46.12,22696209.03,"Bundesliga","5th"
7,4,26.70,5.50,5.80,85.60,91.50,33.10,58.40,64.76,175535752.60,"EPL","1st"
8,0,21.00,8.34,8.66,71.34,68.48,41.36,27.12,57.56,149431367.18,"EPL","2nd"
9,2,12.92,9.81,15.26,48.58,47.15,53.02,-5.87,47.10,65924452.10,"EPL","3rd"
10,1,10.55,7.91,19.53,39.57,40.97,61.93,-20.96,47.15,47619676.01,"EPL","4th"
11,5,8.24,11.35,18.40,36.07,35.28,58.42,-23.13,41.68,51939900.87,"EPL","5th"
12,3,7.31,7.06,23.62,29.00,32.25,70.87,-38.62,43.27,41132431.18,"EPL","6th"
13,3,26.62,6.00,4.37,85.87,90.87,29.87,61.00,63.57,224537255.37,"Ligue1","1st"
14,0,19.20,9.16,8.62,66.75,66.70,42.16,24.54,55.42,43283211.75,"Ligue1","2nd"
15,4,15.13,9.98,11.87,55.36,49.08,43.85,5.22,52.41,17526575.84,"Ligue1","3rd"
16,2,10.86,10.94,15.45,43.52,41.26,51.08,-9.82,46.85,11844435.91,"Ligue1","4th"
17,1,9.47,8.78,18.10,37.20,37.78,58.85,-21.07,45.50,7613146.28,"Ligue1","5th"
18,5,8.50,3.50,22.00,29.00,31.00,58.50,-27.50,45.55,6976872.50,"Ligue1","6th"
19,4,27.20,6.20,4.60,87.80,75.00,28.70,46.30,56.12,156104064.40,"Serie A","1st"
20,3,20.48,8.88,8.64,70.32,67.42,41.36,26.06,55.30,83654128.76,"Serie A","2nd"
21,0,14.53,11.10,12.36,54.60,56.03,48.63,7.40,52.15,36527407.26,"Serie A","3rd"
22,1,10.25,10.14,17.60,40.41,42.58,58.94,-16.35,46.37,24528309.23,"Serie A","4th"
23,5,5.87,9.87,22.25,27.50,33.75,73.12,-39.37,42.12,18696494.37,"Serie A","5th"
24,2,6.88,6.50,24.61,27.16,38.33,80.11,-41.77,43.32,18434370.88,"Serie A","6th"
25,1,26.22,6.83,4.94,85.50,93.22,34.66,58.55,61.88,242138108.22,"LaLiga","1st"
26,4,23.55,8.88,5.55,79.55,63.66,27.33,36.33,49.21,120236610.00,"LaLiga","2nd"
27,2,15.38,10.27,12.33,56.44,53.11,46.64,6.46,52.10,47610331.72,"LaLiga","3rd"
28,0,10.97,9.99,17.02,42.92,39.81,54.35,-14.53,46.55,21473092.26,"LaLiga","4th"
29,3,7.87,13.37,16.75,37.00,37.06,57.68,-20.62,44.33,17917704.31,"LaLiga","5th"
30,5,8.67,8.56,20.75,34.36,37.92,66.40,-28.48,47.72,13008034.10,"LaLiga","6th"
