League,Squad,Seasons_Count
Bundesliga,Hertha BSC,5
Bundesliga,Augsburg,5
Bundesliga,Bayern Munich,5
Bundesliga,Dortmund,5
Bundesliga,Eint Frankfurt,5
Bundesliga,Freiburg,5
Bundesliga,M'Gladbach,5
Bundesliga,Wolfsburg,5
Bundesliga,RB Leipzig,5
Bundesliga,Hoffenheim,5
Bundesliga,Mainz 05,5
Bundesliga,Leverkusen,5
Bundesliga,Schalke 04,4
Bundesliga,Stuttgart,4
Bundesliga,Köln,4
Bundesliga,Werder Bremen,4
Bundesliga,Union Berlin,3
Bundesliga,Düsseldorf,2
Bundesliga,Arminia,2
Bundesliga,Nürnberg,1
Bundesliga,Hamburger SV,1
Bundesliga,Greuther Fürth,1
Bundesliga,Bochum,1
Bundesliga,Paderborn 07,1
EPL,Crystal Palace,5
EPL,West Ham,5
EPL,Newcastle Utd,5
EPL,Manchester Utd,5
EPL,Manchester City,5
EPL,Liverpool,5
EPL,Leicester City,5
EPL,Everton,5
EPL,Tottenham,5
EPL,Southampton,5
EPL,Arsenal,5
EPL,Chelsea,5
EPL,Brighton,5
EPL,Burnley,5
EPL,Wolves,4
EPL,Watford,4
EPL,Aston Villa,3
EPL,Bournemouth,3
EPL,Leeds United,2
EPL,Huddersfield,2
EPL,Fulham,2
EPL,Norwich City,2
EPL,Sheffield Utd,2
EPL,West Brom,2
EPL,Stoke City,1
EPL,Brentford,1
EPL,Cardiff City,1
EPL,Swansea City,1
La Liga,Barcelona,5
La Liga,Real Sociedad,5
La Liga,Valencia,5
La Liga,Levante,5
La Liga,Sevilla,5
La Liga,Celta Vigo,5
La Liga,Villarreal,5
La Liga,Betis,5
La Liga,Getafe,5
La Liga,Atlético Madrid,5
La Liga,Athletic Club,5
La Liga,Alavés,5
La Liga,Real Madrid,5
La Liga,Espanyol,4
La Liga,Eibar,4
La Liga,Granada,3
La Liga,Valladolid,3
La Liga,Osasuna,3
La Liga,Huesca,2
La Liga,Elche,2
La Liga,Mallorca,2
La Liga,Rayo Vallecano,2
La Liga,Cádiz,2
La Liga,Girona,2
La Liga,Leganés,1
La Liga,Las Palmas,1
La Liga,La Coruña,1
La Liga,Málaga,1
Ligue1,Strasbourg,5
Ligue1,Angers,5
Ligue1,Lille,5
Ligue1,Lyon,5
Ligue1,Marseille,5
Ligue1,Monaco,5
Ligue1,Montpellier,5
Ligue1,Nantes,5
Ligue1,Paris S-G,5
Ligue1,Nice,5
Ligue1,Rennes,5
Ligue1,Reims,4
Ligue1,Saint-Étienne,4
Ligue1,Bordeaux,4
Ligue1,Lens,3
Ligue1,Troyes,3
Ligue1,Toulouse,3
Ligue1,Lorient,3
Ligue1,Brest,3
Ligue1,Metz,3
Ligue1,Dijon,3
Ligue1,Amiens,2
Ligue1,Guingamp,2
Ligue1,Clermont Foot,2
Ligue1,Caen,2
Ligue1,Nîmes,2
Ligue1,Auxerre,1
Ligue1,Ajaccio,1
Serie A,Sampdoria,5
Serie A,Napoli,5
Serie A,Roma,5
Serie A,Sassuolo,5
Serie A,Torino,5
Serie A,Udinese,5
Serie A,Cagliari,5
Serie A,Milan,5
Serie A,Juventus,5
Serie A,Inter,5
Serie A,Genoa,5
Serie A,Lazio,5
Serie A,Bologna,5
Serie A,Fiorentina,5
Serie A,Atalanta,5
Serie A,Hellas Verona,4
Serie A,SPAL,3
Serie A,Parma,3
Serie A,Benevento,2
Serie A,Spezia,2
Serie A,Chievo,2
Serie A,Crotone,2
Serie A,Empoli,2
Serie A,Salernitana,1
Serie A,Venezia,1
Serie A,Brescia,1
Serie A,Frosinone,1
Serie A,Lecce,1
UEFA,Atlético Madrid,5
UEFA,Manchester City,5
UEFA,Liverpool,5
UEFA,Paris S-G,5
UEFA,Real Madrid,5
UEFA,Dortmund,5
UEFA,Bayern Munich,5
UEFA,Juventus,5
UEFA,Barcelona,5
UEFA,Shakhtar,5
UEFA,RB Leipzig,4
UEFA,Benfica,4
UEFA,Manchester Utd,4
UEFA,Inter,4
UEFA,Porto,4
UEFA,Ajax,4
UEFA,Club Brugge,4
UEFA,Chelsea,4
UEFA,Olympiacos,3
UEFA,Zenit,3
UEFA,Atalanta,3
UEFA,Sevilla,3
UEFA,Napoli,3
UEFA,RB Salzburg,3
UEFA,Tottenham,3
UEFA,Loko Moscow,3
UEFA,Red Star,2
UEFA,Young Boys,2
UEFA,Monaco,2
UEFA,Sporting CP,2
UEFA,Roma,2
UEFA,Valencia,2
UEFA,Lyon,2
UEFA,Lille,2
UEFA,CSKA Moscow,2
UEFA,Beşiktaş,2
UEFA,Galatasaray,2
UEFA,Dynamo Kyiv,2
UEFA,Başakşehir,1
UEFA,Schalke 04,1
UEFA,Basel,1
UEFA,Sheriff Tiraspol,1
UEFA,Rennes,1
UEFA,Spartak Moscow,1
UEFA,APOEL FC,1
UEFA,Anderlecht,1
UEFA,Viktoria Plzeň,1
UEFA,Villarreal,1
UEFA,Wolfsburg,1
UEFA,AEK Athens,1
UEFA,Slavia Prague,1
UEFA,NK Maribor,1
UEFA,Malmö,1
UEFA,Leverkusen,1
UEFA,Marseille,1
UEFA,M'Gladbach,1
UEFA,Midtjylland,1
UEFA,Milan,1
UEFA,Dinamo Zagreb,1
UEFA,Krasnodar,1
UEFA,Celtic,1
UEFA,Hoffenheim,1
UEFA,Genk,1
UEFA,PSV Eindhoven,1
UEFA,Qarabağ FK,1
UEFA,Feyenoord,1
UEFA,Ferencváros,1
UEFA,Lazio,1
