"ID","Cluster_1","Cluster_1_Value","Cluster_2","Cluster_2_Value","Cluster_3","Cluster_3_Value","Cluster_4","Cluster_4_Value","Cluster_5","Cluster_5_Value","Cluster_6","Cluster_6_Value","League","1v2","2v3","3v4","4v5","5v6","3v1","4v1","5v1","6v1"
6,"Wins",26.22,"Wins",23.56,"Wins",15.39,"Wins",10.98,"Wins",7.88,"Wins",8.67,"LaLiga",-0.10,-0.34,-0.28,-0.28,0.10,0.70,1.38,2.32,2.02
7,"Draws",6.83,"Draws",8.89,"Draws",10.28,"Draws",10.00,"Draws",13.38,"Draws",8.57,"LaLiga",0.30,0.15,-0.02,0.33,-0.35,-0.33,-0.31,-0.48,-0.20
8,"Losses",4.94,"Losses",5.56,"Losses",12.33,"Losses",17.03,"Losses",16.75,"Losses",20.76,"LaLiga",0.12,1.21,0.38,-0.01,0.23,-0.59,-0.70,-0.70,-0.76
9,"Points",85.50,"Points",79.56,"Points",56.44,"Points",42.93,"Points",37.00,"Points",34.37,"LaLiga",-0.06,-0.29,-0.23,-0.13,-0.07,0.51,0.99,1.31,1.48
10,"Goals_For",93.22,"Goals_For",63.67,"Goals_For",53.11,"Goals_For",39.81,"Goals_For",37.06,"Goals_For",37.92,"LaLiga",-0.31,-0.16,-0.25,-0.06,0.02,0.75,1.34,1.51,1.45
11,"Goals_Against",34.67,"Goals_Against",27.33,"Goals_Against",46.65,"Goals_Against",54.35,"Goals_Against",57.69,"Goals_Against",66.41,"LaLiga",-0.21,0.70,0.16,0.06,0.15,-0.25,-0.36,-0.39,-0.47
12,"GDiff",58.56,"GDiff",36.33,"GDiff",6.46,"GDiff",-14.54,"GDiff",-20.62,"GDiff",-28.48,"LaLiga",-0.37,-0.82,-3.25,0.41,0.38,8.06,-5.02,-3.83,-3.05
13,"Poss",61.89,"Poss",49.21,"Poss",52.11,"Poss",46.55,"Poss",44.34,"Poss",47.72,"LaLiga",-0.20,0.05,-0.10,-0.04,0.07,0.18,0.32,0.39,0.29
14,"Wages",242138108.22,"Wages",120236610.00,"Wages",47610331.72,"Wages",21473092.27,"Wages",17917704.31,"Wages",13008034.11,"LaLiga",-0.50,-0.60,-0.54,-0.16,-0.27,4.08,10.27,12.51,17.61
15,"Wins",26.00,"Wins",12.91,"Wins",9.29,"Wins",17.29,"Wins",10.18,"Wins",4.62,"Bundesliga",-0.50,-0.28,0.86,-0.41,-0.54,1.79,0.50,1.55,4.62
16,"Draws",4.22,"Draws",9.21,"Draws",10.12,"Draws",7.50,"Draws",7.59,"Draws",8.88,"Bundesliga",1.18,0.09,-0.25,0.01,0.16,-0.58,-0.43,-0.44,-0.52
17,"Losses",3.78,"Losses",11.88,"Losses",14.59,"Losses",9.21,"Losses",16.23,"Losses",20.50,"Bundesliga",2.14,0.22,-0.36,0.76,0.26,-0.74,-0.58,-0.76,-0.81
18,"Points",82.22,"Points",47.94,"Points",38.00,"Points",59.38,"Points",38.14,"Points",22.75,"Bundesliga",-0.41,-0.20,0.56,-0.35,-0.40,1.16,0.38,1.15,2.61
19,"Goals_For",91.33,"Goals_For",50.58,"Goals_For",38.12,"Goals_For",64.33,"Goals_For",40.69,"Goals_For",30.62,"Bundesliga",-0.44,-0.24,0.68,-0.36,-0.24,1.39,0.41,1.24,1.98
20,"Goals_Against",28.78,"Goals_Against",50.57,"Goals_Against",52.40,"Goals_Against",43.40,"Goals_Against",56.38,"Goals_Against",70.12,"Bundesliga",0.75,0.03,-0.17,0.29,0.24,-0.45,-0.33,-0.48,-0.58
21,"GDiff",62.56,"GDiff",0.01,"GDiff",-14.28,"GDiff",20.93,"GDiff",-15.69,"GDiff",-39.50,"Bundesliga",-0.99,-1429.00,-2.46,-1.74,1.51,-5.38,1.98,-4.98,-2.58
22,"Poss",66.09,"Poss",48.70,"Poss",43.81,"Poss",55.96,"Poss",46.13,"Poss",43.52,"Bundesliga",-0.26,-0.10,0.27,-0.17,-0.05,0.50,0.18,0.43,0.51
23,"Wages",184561016.11,"Wages",40447486.33,"Wages",24158422.42,"Wages",57009979.24,"Wages",22696209.03,"Wages",11326663.62,"Bundesliga",-0.78,-0.40,1.35,-0.60,-0.50,6.63,2.23,7.13,15.29
24,"Wins",26.62,"Wins",19.21,"Wins",15.14,"Wins",10.86,"Wins",9.47,"Wins",8.50,"Ligue1",-0.27,-0.21,-0.28,-0.12,-0.10,0.75,1.45,1.81,2.13
25,"Draws",6.00,"Draws",9.17,"Draws",9.99,"Draws",10.95,"Draws",8.78,"Draws",3.50,"Ligue1",0.52,0.08,0.09,-0.19,-0.60,-0.39,-0.45,-0.31,0.71
26,"Losses",4.38,"Losses",8.62,"Losses",11.88,"Losses",15.45,"Losses",18.11,"Losses",22.00,"Ligue1",0.96,0.37,0.30,0.17,0.21,-0.63,-0.71,-0.75,-0.80
27,"Points",85.88,"Points",66.75,"Points",55.37,"Points",43.53,"Points",37.20,"Points",29.00,"Ligue1",-0.22,-0.17,-0.21,-0.14,-0.22,0.55,0.97,1.30,1.96
28,"Goals_For",90.88,"Goals_For",66.71,"Goals_For",49.08,"Goals_For",41.26,"Goals_For",37.78,"Goals_For",31.00,"Ligue1",-0.26,-0.26,-0.15,-0.08,-0.17,0.85,1.20,1.40,1.93
29,"Goals_Against",29.88,"Goals_Against",42.17,"Goals_Against",43.86,"Goals_Against",51.08,"Goals_Against",58.86,"Goals_Against",58.50,"Ligue1",0.41,0.04,0.16,0.15,-6.11620795107033e-03,-0.31,-0.41,-0.49,-0.48
30,"GDiff",61.00,"GDiff",24.54,"GDiff",5.22,"GDiff",-9.82,"GDiff",-21.07,"GDiff",-27.50,"Ligue1",-0.59,-0.78,-2.88,1.14,0.30,10.68,-7.21,-3.89,-3.21
31,"Poss",63.58,"Poss",55.42,"Poss",52.41,"Poss",46.85,"Poss",45.50,"Poss",45.55,"Ligue1",-0.12,-0.05,-0.10,-0.02,1.09890109890104e-03,0.21,0.35,0.39,0.39
32,"Wages",224537255.38,"Wages",43283211.75,"Wages",17526575.85,"Wages",11844435.91,"Wages",7613146.28,"Wages",6976872.50,"Ligue1",-0.80,-0.59,-0.32,-0.35,-0.08,11.81,17.95,28.49,31.18
33,"Wins",27.20,"Wins",20.48,"Wins",14.53,"Wins",10.25,"Wins",5.88,"Wins",6.89,"SerieA",-0.24,-0.29,-0.29,-0.42,0.17,0.87,1.65,3.62,2.94
34,"Draws",6.20,"Draws",8.88,"Draws",11.10,"Draws",10.14,"Draws",9.88,"Draws",6.50,"SerieA",0.43,0.25,-0.08,-0.02,-0.34,-0.44,-0.38,-0.37,-0.04
35,"Losses",4.60,"Losses",8.64,"Losses",12.37,"Losses",17.61,"Losses",22.25,"Losses",24.61,"SerieA",0.87,0.43,0.42,0.26,0.10,-0.62,-0.73,-0.79,-0.81
36,"Points",87.80,"Points",70.32,"Points",54.60,"Points",40.41,"Points",27.50,"Points",27.17,"SerieA",-0.19,-0.22,-0.25,-0.31,-0.01,0.60,1.17,2.19,2.23
37,"Goals_For",75.00,"Goals_For",67.42,"Goals_For",56.03,"Goals_For",42.59,"Goals_For",33.75,"Goals_For",38.33,"SerieA",-0.10,-0.16,-0.23,-0.20,0.13,0.33,0.76,1.22,0.95
38,"Goals_Against",28.70,"Goals_Against",41.36,"Goals_Against",48.63,"Goals_Against",58.94,"Goals_Against",73.12,"Goals_Against",80.11,"SerieA",0.44,0.17,0.21,0.24,0.09,-0.40,-0.51,-0.60,-0.64
39,"GDiff",46.30,"GDiff",26.06,"GDiff",7.40,"GDiff",-16.36,"GDiff",-39.38,"GDiff",-41.78,"SerieA",-0.43,-0.71,-3.21,1.40,0.06,5.25,-3.83,-2.17,-2.10
40,"Poss",56.12,"Poss",55.31,"Poss",52.15,"Poss",46.38,"Poss",42.12,"Poss",43.32,"SerieA",-0.01,-0.05,-0.11,-0.09,0.02,0.07,0.21,0.33,0.29
41,"Wages",156104064.40,"Wages",83654128.76,"Wages",36527407.27,"Wages",24528309.23,"Wages",18696494.38,"Wages",18434370.89,"SerieA",-0.46,-0.56,-0.32,-0.23,-0.01,3.27,5.36,7.34,7.46
43,"Wins",26.70,"Wins",21.00,"Wins",12.92,"Wins",10.55,"Wins",8.24,"Wins",7.31,"EPL",-0.21,-0.38,-0.18,-0.21,-0.11,1.06,1.53,2.24,2.65
44,"Draws",5.50,"Draws",8.34,"Draws",9.82,"Draws",7.92,"Draws",11.35,"Draws",7.06,"EPL",0.51,0.17,-0.19,0.43,-0.37,-0.43,-0.30,-0.51,-0.22
45,"Losses",5.80,"Losses",8.66,"Losses",15.26,"Losses",19.53,"Losses",18.41,"Losses",23.62,"EPL",0.49,0.76,0.27,-0.05,0.28,-0.61,-0.70,-0.68,-0.75
46,"Points",85.60,"Points",71.34,"Points",48.59,"Points",39.57,"Points",36.08,"Points",29.00,"EPL",-0.16,-0.31,-0.18,-0.08,-0.19,0.76,1.16,1.37,1.95
47,"Goals_For",91.50,"Goals_For",68.48,"Goals_For",47.15,"Goals_For",40.97,"Goals_For",35.29,"Goals_For",32.25,"EPL",-0.25,-0.31,-0.13,-0.13,-0.08,0.94,1.23,1.59,1.83
48,"Goals_Against",33.10,"Goals_Against",41.36,"Goals_Against",53.03,"Goals_Against",61.94,"Goals_Against",58.42,"Goals_Against",70.88,"EPL",0.24,0.28,0.16,-0.05,0.21,-0.37,-0.46,-0.43,-0.53
49,"GDiff",58.40,"GDiff",27.12,"GDiff",-5.88,"GDiff",-20.97,"GDiff",-23.14,"GDiff",-38.62,"EPL",-0.53,-1.21,2.56,0.10,0.66,-10.93,-3.78,-3.52,-2.51
50,"Poss",64.77,"Poss",57.56,"Poss",47.11,"Poss",47.15,"Poss",41.69,"Poss",43.28,"EPL",-0.11,-0.18,8.49076629165764e-04,-0.11,0.03,0.37,0.37,0.55,0.49
51,"Wages",175535752.60,"Wages",149431367.18,"Wages",65924452.10,"Wages",47619676.01,"Wages",51939900.87,"Wages",41132431.19,"EPL",-0.14,-0.55,-0.27,0.09,-0.20,1.66,2.68,2.37,3.26
